trade,day,work_order_id,var_name,manhours_scaled,max_manhours_scaled,solver_value,contribution_scaled,solver_status
NC-E/I,tuesday,1444880,x_1444880_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1450323,x_1450323_NC-E/I_tuesday,4,48,0,0,OPTIMAL
NC-E/I,tuesday,1450151,x_1450151_NC-E/I_tuesday,12,48,0,0,OPTIMAL
NC-E/I,tuesday,1446253,x_1446253_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1442061,x_1442061_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1441973,x_1441973_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1447453,x_1447453_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1451278,x_1451278_NC-E/I_tuesday,6,48,0,0,OPTIMAL
NC-E/I,tuesday,1451279,x_1451279_NC-E/I_tuesday,6,48,0,0,OPTIMAL
NC-E/I,tuesday,1450892,x_1450892_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1450894,x_1450894_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1450895,x_1450895_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1450893,x_1450893_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1448462,x_1448462_NC-E/I_tuesday,8,48,0,0,OPTIMAL
NC-E/I,tuesday,1442969,x_1442969_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1451286,x_1451286_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1388696,x_1388696_NC-E/I_tuesday,12,48,0,0,OPTIMAL
NC-E/I,tuesday,1387434,x_1387434_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1426292,x_1426292_NC-E/I_tuesday,4,48,0,0,OPTIMAL
NC-E/I,tuesday,1430677,x_1430677_NC-E/I_tuesday,8,48,0,0,OPTIMAL
NC-E/I,tuesday,1437521,x_1437521_NC-E/I_tuesday,8,48,0,0,OPTIMAL
NC-E/I,tuesday,1444984,x_1444984_NC-E/I_tuesday,8,48,0,0,OPTIMAL
NC-E/I,tuesday,1437615,x_1437615_NC-E/I_tuesday,16,48,0,0,OPTIMAL
NC-E/I,tuesday,1442950,x_1442950_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1429139,x_1429139_NC-E/I_tuesday,6,48,0,0,OPTIMAL
NC-E/I,tuesday,1442901,x_1442901_NC-E/I_tuesday,8,48,1,8,OPTIMAL
NC-E/I,tuesday,1435859,x_1435859_NC-E/I_tuesday,12,48,0,0,OPTIMAL
NC-E/I,tuesday,1450304,x_1450304_NC-E/I_tuesday,4,48,0,0,OPTIMAL
NC-E/I,tuesday,1448470,x_1448470_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1442871,x_1442871_NC-E/I_tuesday,4,48,0,0,OPTIMAL
NC-E/I,tuesday,1450324,x_1450324_NC-E/I_tuesday,4,48,0,0,OPTIMAL
NC-E/I,tuesday,1450326,x_1450326_NC-E/I_tuesday,80,48,0,0,OPTIMAL
NC-E/I,tuesday,1450128,x_1450128_NC-E/I_tuesday,16,48,0,0,OPTIMAL
NC-E/I,tuesday,1450120,x_1450120_NC-E/I_tuesday,4,48,0,0,OPTIMAL
NC-E/I,tuesday,1446276,x_1446276_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1446322,x_1446322_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1446273,x_1446273_NC-E/I_tuesday,12,48,0,0,OPTIMAL
NC-E/I,tuesday,1446203,x_1446203_NC-E/I_tuesday,8,48,0,0,OPTIMAL
NC-E/I,tuesday,1446204,x_1446204_NC-E/I_tuesday,16,48,0,0,OPTIMAL
NC-E/I,tuesday,1449857,x_1449857_NC-E/I_tuesday,8,48,1,8,OPTIMAL
NC-E/I,tuesday,1435167,x_1435167_NC-E/I_tuesday,32,48,0,0,OPTIMAL
NC-E/I,tuesday,1420764,x_1420764_NC-E/I_tuesday,24,48,0,0,OPTIMAL
NC-E/I,tuesday,1433738,x_1433738_NC-E/I_tuesday,4,48,0,0,OPTIMAL
NC-E/I,tuesday,1440685,x_1440685_NC-E/I_tuesday,40,48,0,0,OPTIMAL
NC-E/I,tuesday,1444005,x_1444005_NC-E/I_tuesday,8,48,1,8,OPTIMAL
NC-E/I,tuesday,1434969,x_1434969_NC-E/I_tuesday,24,48,1,24,OPTIMAL
NC-E/I,tuesday,1447506,x_1447506_NC-E/I_tuesday,8,48,0,0,OPTIMAL
NC-E/I,tuesday,1436320,x_1436320_NC-E/I_tuesday,6,48,0,0,OPTIMAL
NC-E/I,tuesday,1387468,x_1387468_NC-E/I_tuesday,8,48,0,0,OPTIMAL
NC-E/I,tuesday,1448794,x_1448794_NC-E/I_tuesday,1,48,0,0,OPTIMAL
NC-E/I,tuesday,1448845,x_1448845_NC-E/I_tuesday,4,48,0,0,OPTIMAL
NC-E/I,tuesday,1378310,x_1378310_NC-E/I_tuesday,8,48,0,0,OPTIMAL
NC-E/I,tuesday,1442317,x_1442317_NC-E/I_tuesday,2,48,0,0,OPTIMAL
