work_order_id,trade,day,var_name,solver_value,solver_status
1437926,NC-E/I,wednesday,x_1437926_NC-E/I_wednesday,0,OPTIMAL
1440685,NC-E/I,friday,x_1440685_NC-E/I_friday,0,OPTIMAL
1440685,NC-E/I,monday,x_1440685_NC-E/I_monday,0,OPTIMAL
1440685,NC-E/I,saturday,x_1440685_NC-E/I_saturday,0,OPTIMAL
1440685,NC-E/I,sunday,x_1440685_NC-E/I_sunday,0,OPTIMAL
1440685,NC-E/I,thursday,x_1440685_NC-E/I_thursday,0,OPTIMAL
1440685,NC-E/I,tuesday,x_1440685_NC-E/I_tuesday,0,OPTIMAL
1440685,NC-E/I,wednesday,x_1440685_NC-E/I_wednesday,0,OPTIMAL
1441434,NC-MECHANIC EXE,friday,x_1441434_NC-MECHANIC EXE_friday,0,OPTIMAL
1441434,NC-MECHANIC EXE,monday,x_1441434_NC-MECHANIC EXE_monday,0,OPTIMAL
1441434,NC-MECHANIC EXE,thursday,x_1441434_NC-MECHANIC EXE_thursday,0,OPTIMAL
1441434,NC-MECHANIC EXE,tuesday,x_1441434_NC-MECHANIC EXE_tuesday,0,OPTIMAL
1441434,NC-MECHANIC EXE,wednesday,x_1441434_NC-MECHANIC EXE_wednesday,0,OPTIMAL
1441447,NC-LUBRICATOR,friday,x_1441447_NC-LUBRICATOR_friday,0,OPTIMAL
1441447,NC-LUBRICATOR,monday,x_1441447_NC-LUBRICATOR_monday,0,OPTIMAL
1441447,NC-LUBRICATOR,thursday,x_1441447_NC-LUBRICATOR_thursday,0,OPTIMAL
1441447,NC-LUBRICATOR,tuesday,x_1441447_NC-LUBRICATOR_tuesday,0,OPTIMAL
1441447,NC-LUBRICATOR,wednesday,x_1441447_NC-LUBRICATOR_wednesday,0,OPTIMAL
1441822,NC-REBUILD,friday,x_1441822_NC-REBUILD_friday,0,OPTIMAL
1441822,NC-REBUILD,monday,x_1441822_NC-REBUILD_monday,0,OPTIMAL
1441822,NC-REBUILD,thursday,x_1441822_NC-REBUILD_thursday,1,OPTIMAL
1441822,NC-REBUILD,tuesday,x_1441822_NC-REBUILD_tuesday,0,OPTIMAL
1441822,NC-REBUILD,wednesday,x_1441822_NC-REBUILD_wednesday,0,OPTIMAL
1441973,NC-E/I,friday,x_1441973_NC-E/I_friday,1,OPTIMAL
1441973,NC-E/I,monday,x_1441973_NC-E/I_monday,0,OPTIMAL
1441973,NC-E/I,saturday,x_1441973_NC-E/I_saturday,0,OPTIMAL
1441973,NC-E/I,sunday,x_1441973_NC-E/I_sunday,0,OPTIMAL
1441973,NC-E/I,thursday,x_1441973_NC-E/I_thursday,0,OPTIMAL
1441973,NC-E/I,tuesday,x_1441973_NC-E/I_tuesday,0,OPTIMAL
1441973,NC-E/I,wednesday,x_1441973_NC-E/I_wednesday,0,OPTIMAL
1442061,NC-E/I,friday,x_1442061_NC-E/I_friday,1,OPTIMAL
1442061,NC-E/I,monday,x_1442061_NC-E/I_monday,0,OPTIMAL
1442061,NC-E/I,saturday,x_1442061_NC-E/I_saturday,0,OPTIMAL
1442061,NC-E/I,sunday,x_1442061_NC-E/I_sunday,0,OPTIMAL
1442061,NC-E/I,thursday,x_1442061_NC-E/I_thursday,0,OPTIMAL
1442061,NC-E/I,tuesday,x_1442061_NC-E/I_tuesday,0,OPTIMAL
1442061,NC-E/I,wednesday,x_1442061_NC-E/I_wednesday,0,OPTIMAL
1442096,NC-LUBRICATOR,friday,x_1442096_NC-LUBRICATOR_friday,0,OPTIMAL
1442096,NC-LUBRICATOR,monday,x_1442096_NC-LUBRICATOR_monday,0,OPTIMAL
1442096,NC-LUBRICATOR,thursday,x_1442096_NC-LUBRICATOR_thursday,0,OPTIMAL
1442096,NC-LUBRICATOR,tuesday,x_1442096_NC-LUBRICATOR_tuesday,0,OPTIMAL
1442096,NC-LUBRICATOR,wednesday,x_1442096_NC-LUBRICATOR_wednesday,1,OPTIMAL
1442287,NC-LUBRICATOR,friday,x_1442287_NC-LUBRICATOR_friday,0,OPTIMAL
1442287,NC-LUBRICATOR,monday,x_1442287_NC-LUBRICATOR_monday,1,OPTIMAL
1442287,NC-LUBRICATOR,thursday,x_1442287_NC-LUBRICATOR_thursday,0,OPTIMAL
1442287,NC-LUBRICATOR,tuesday,x_1442287_NC-LUBRICATOR_tuesday,0,OPTIMAL
1442287,NC-LUBRICATOR,wednesday,x_1442287_NC-LUBRICATOR_wednesday,0,OPTIMAL
1442292,NC-LUBRICATOR,friday,x_1442292_NC-LUBRICATOR_friday,0,OPTIMAL
1442292,NC-LUBRICATOR,monday,x_1442292_NC-LUBRICATOR_monday,1,OPTIMAL
1442292,NC-LUBRICATOR,thursday,x_1442292_NC-LUBRICATOR_thursday,0,OPTIMAL
1442292,NC-LUBRICATOR,tuesday,x_1442292_NC-LUBRICATOR_tuesday,0,OPTIMAL
1442292,NC-LUBRICATOR,wednesday,x_1442292_NC-LUBRICATOR_wednesday,0,OPTIMAL
1442317,NC-E/I,friday,x_1442317_NC-E/I_friday,0,OPTIMAL
1442317,NC-E/I,monday,x_1442317_NC-E/I_monday,0,OPTIMAL
1442317,NC-E/I,saturday,x_1442317_NC-E/I_saturday,0,OPTIMAL
1442317,NC-E/I,sunday,x_1442317_NC-E/I_sunday,0,OPTIMAL
1442317,NC-E/I,thursday,x_1442317_NC-E/I_thursday,1,OPTIMAL
1442317,NC-E/I,tuesday,x_1442317_NC-E/I_tuesday,0,OPTIMAL
1442317,NC-E/I,wednesday,x_1442317_NC-E/I_wednesday,0,OPTIMAL
1442366,NC-E/I,friday,x_1442366_NC-E/I_friday,1,OPTIMAL
1442366,NC-E/I,monday,x_1442366_NC-E/I_monday,0,OPTIMAL
1442366,NC-E/I,saturday,x_1442366_NC-E/I_saturday,0,OPTIMAL
1442366,NC-E/I,sunday,x_1442366_NC-E/I_sunday,0,OPTIMAL
1442366,NC-E/I,thursday,x_1442366_NC-E/I_thursday,0,OPTIMAL
1442366,NC-E/I,tuesday,x_1442366_NC-E/I_tuesday,0,OPTIMAL
1442366,NC-E/I,wednesday,x_1442366_NC-E/I_wednesday,0,OPTIMAL
1442367,NC-LUBRICATOR,friday,x_1442367_NC-LUBRICATOR_friday,0,OPTIMAL
1442367,NC-LUBRICATOR,monday,x_1442367_NC-LUBRICATOR_monday,0,OPTIMAL
1442367,NC-LUBRICATOR,thursday,x_1442367_NC-LUBRICATOR_thursday,1,OPTIMAL
1442367,NC-LUBRICATOR,tuesday,x_1442367_NC-LUBRICATOR_tuesday,0,OPTIMAL
